0.00,0.00
0.13,0.15
0.34,0.40
0.40,0.57
0.45,0.67
0.48,0.71
0.55,0.73
0.62,0.72
0.70,0.71
0.75,0.72
0.81,0.76
0.85,0.77
0.85,0.80
0.86,0.80
0.86,0.82
0.84,0.82
0.84,0.85
0.84,0.84
0.85,0.82
0.89,0.82
0.90,0.84
0.90,0.82
0.92,0.84
0.90,0.85
0.90,0.85
0.90,0.85
0.92,0.88
0.90,0.86
0.92,0.86
0.90,0.85
0.92,0.86
0.92,0.86
0.92,0.85
0.93,0.85
0.92,0.86
0.93,0.86
0.93,0.85
0.92,0.85
0.93,0.85
0.93,0.85
0.94,0.85
0.94,0.85
0.95,0.85
0.93,0.85
0.93,0.86
0.93,0.86
0.92,0.86
0.92,0.86
0.90,0.85
0.92,0.86
0.90,0.86
0.92,0.86
0.90,0.86
0.90,0.86
0.92,0.86
0.89,0.86
0.90,0.88
0.89,0.86
0.90,0.86
0.89,0.85
0.90,0.84
0.90,0.84
0.92,0.81
0.93,0.82
0.93,0.84
0.92,0.85
0.90,0.85
0.90,0.85
0.89,0.86
0.89,0.85
0.90,0.85
0.92,0.84
0.90,0.84
0.90,0.84
0.90,0.85
0.88,0.85
0.88,0.86
0.89,0.86
0.89,0.85
0.89,0.85
0.89,0.85
0.90,0.84
0.90,0.84
0.90,0.84
0.89,0.84
0.92,0.84
0.90,0.82
0.89,0.82
0.90,0.84
0.90,0.84
0.89,0.82
0.90,0.84
0.92,0.82
0.92,0.82
0.92,0.82
0.92,0.84
0.92,0.84
0.89,0.84
0.90,0.84
0.92,0.84
0.90,0.84
0.92,0.82
0.92,0.84
0.92,0.84
0.90,0.84
0.90,0.85
0.90,0.84
0.90,0.84
0.92,0.85
0.93,0.84
0.94,0.84
0.94,0.82
0.94,0.84
0.95,0.82
0.95,0.82
0.95,0.82
0.95,0.84
0.95,0.84
0.95,0.84
0.95,0.84
0.97,0.84
0.97,0.84
0.97,0.84
0.97,0.84
0.98,0.84
0.97,0.84
0.98,0.84
0.98,0.85
0.98,0.84
0.99,0.84
0.99,0.85
0.98,0.84
0.98,0.85
0.98,0.80
0.93,0.62
0.92,0.54
0.88,0.40
0.80,0.40
0.68,0.41
0.63,0.45
0.71,0.45
